strategy,horizon_days,cost_usd_per_patient,qalys_per_patient,delirium_cases_per_patient,rehab_discharges_per_patient,deaths_per_patient,readmissions_per_patient
Usual anesthesia,180,3744.3918385609745,0.21605250501477982,0.2034,0.34571424965158704,0.12958545153579826,0.4118038877121951
pEEG-guided anesthesia,180,3516.899216360878,0.2169661336617572,0.164754,0.3363577850549061,0.12770932170616006,0.40634951447217577
Usual anesthesia,365,3737.2679376718847,0.46349146963553767,0.2034,0.34571424965158704,0.15155789403562053,0.41037910753437706
pEEG-guided anesthesia,365,3509.8424985989122,0.46531915565441373,0.164754,0.3363577850549061,0.1497379698503124,0.40493817091978246
